Order_ID,User_ID,Restaurant_ID,Driver_ID,Item_Name,Quantity,Total_Price,Order_Time,Delivery_Time,Delivery_Duration_Minutes,City,Payment_Method,Order_Status,Driver_Vehicle,Restaurant_Lat,Restaurant_Lon,Customer_Lat,Customer_Lon,Driver_Lat,Driver_Lon,Delivery_Distance_km,Traffic_Level,Driver_Availability,Hour,Revenue,Day,Month
18,U2654,114,285,Koshary,1,34.94,2025-06-03 02:34:00,,35.0,Alexandria,Credit Card,Delivered,Car,31.20109025726529,29.913291590239496,31.21312170232364,29.91616897337317,31.20097432773485,29.925178541947275,1.3618538752407638,Low,Online,2,34.94,Tuesday,June
19,U3339,433,234,Salad,5,251.0,2025-06-08 23:17:00,,37.0,Assiut,Wallet,Delivered,Motorbike,27.178177800745686,31.185107745769983,27.17448529805636,31.17910703592173,27.193244772149264,31.173303140896333,0.7218281244920381,Low,Offline,23,1255.0,Sunday,June
20,U4958,119,396,Shawarma,5,511.4,2025-06-15 18:14:00,,28.0,Assiut,Credit Card,Delivered,Car,27.17254916560792,31.17044946350109,27.173966801040606,31.201556146751837,27.17518602799184,31.1898169702925,3.0867440751856954,High,Online,18,2557.0,Sunday,June
21,U4475,772,321,Sandwich,2,168.84,2025-06-12 07:02:00,,38.0,Giza,Wallet,Delivered,Motorbike,30.017574115788896,31.219925537285853,30.022930144572516,31.193330150061858,29.99937235510645,31.22471200946341,2.6333741292236086,High,Online,7,337.68,Thursday,June
22,U9036,295,441,Pizza,4,316.44,2025-06-07 14:17:00,,45.0,Cairo,Wallet,In Transit,Car,30.02997975442608,31.22633836589785,30.041002912520398,31.220671136482984,30.037241918737102,31.236580797584384,1.3386379037781908,Medium,Online,14,1265.76,Saturday,June
23,U5581,525,359,Sushi,1,103.71,2025-06-06 01:02:00,,40.0,Alexandria,Credit Card,In Transit,Car,31.19178578594141,29.923300982795663,31.218904640979776,29.923351547825128,31.203285238287645,29.9014063553058,3.006752684366767,Low,Online,1,103.71,Friday,June
24,U2186,432,179,Salad,1,126.03,2025-06-03 20:43:00,,26.0,Assiut,Cash,Delivered,Motorbike,27.175554473731747,31.19967600150633,27.178698155796194,31.173436512206948,27.175775792983423,31.17969477793133,2.6235329290613056,Low,Online,20,126.03,Tuesday,June
25,U1250,410,16,Shawarma,2,65.88,2025-06-08 18:30:00,,41.0,Tanta,Cash,Delivered,Bicycle,30.784742799368683,30.979743424337837,30.776227233111133,31.018155326980008,30.79735032237797,31.01608681136615,3.79614526427458,High,Online,18,131.76,Sunday,June
26,U9226,667,315,Shawarma,3,352.89,2025-06-03 23:29:00,,55.0,Assiut,Wallet,Delivered,Car,27.19230703845572,31.17920135771811,27.16129281033336,31.16704427049864,27.188806916891657,31.199376055506143,3.6416299344992087,Low,Online,23,1058.67,Tuesday,June
27,U6560,283,400,Fried Chicken,2,99.36,2025-06-05 21:51:00,,30.0,Assiut,Cash,Delivered,Bicycle,27.168886951286336,31.169096710387223,27.199064514890583,31.19336918251937,27.190238776863143,31.1904470585292,4.11905040536636,Low,Online,21,198.72,Thursday,June
28,U6714,536,288,Shawarma,4,473.88,2025-06-12 14:36:00,,47.0,Giza,Credit Card,Delivered,Car,30.013669377536544,31.22524630841421,29.997849753590494,31.217680017645108,30.017455691807697,31.19101701231713,1.899519436385456,Medium,Online,14,1895.52,Thursday,June
29,U9034,376,175,Salad,5,308.2,2025-06-06 19:31:00,,49.0,Assiut,Wallet,Cancelled,Car,27.184596582754484,31.178103097780017,27.16790706725024,31.19297407653897,27.16488248150881,31.17416661455076,2.364686461687869,High,Online,19,1541.0,Friday,June
30,U6352,73,268,Koshary,3,350.37,2025-06-02 06:29:00,,51.0,Cairo,Cash,Delivered,Bicycle,30.0262580165088,31.22423363706658,30.02593347911836,31.242529002445803,30.062744450725138,31.235318181668017,1.7651563667555146,Low,Online,6,1051.1100000000001,Monday,June
31,U3527,387,130,Pasta,1,135.15,2025-06-10 00:57:00,,47.0,Tanta,Wallet,Delivered,Bicycle,30.790801794076057,31.005259063027456,30.785097498450934,30.981366272591703,30.77467399187014,30.99619339316857,2.3727288510330227,Low,Online,0,135.15,Tuesday,June
32,U5680,31,247,Koshary,3,383.04,2025-06-07 05:15:00,,39.0,Assiut,Credit Card,Delivered,Motorbike,27.16772096494749,31.185427711497027,27.17723544071253,31.17673247761721,27.16100980254516,31.171126424878626,1.3616310359420536,Low,Online,5,1149.1200000000001,Saturday,June
33,U7501,552,468,Salad,3,297.96,2025-06-12 22:50:00,,25.0,Alexandria,Credit Card,Delivered,Bicycle,31.18270206371941,29.93137746726965,31.21273065575469,29.902915500695038,31.21591158481166,29.902829930610284,4.29451857413929,Low,Online,22,893.8799999999999,Thursday,June
34,U5249,479,299,Sushi,5,224.85,2025-06-02 11:34:00,,34.0,Mansoura,Cash,Delivered,Motorbike,31.055855421490133,31.391622726348917,31.04011433370484,31.38780484257185,31.052772917961317,31.37166559216108,1.782864770155648,Medium,Online,11,1124.25,Monday,June
35,U2503,955,477,Pizza,3,193.32,2025-06-04 05:35:00,,40.0,Assiut,Credit Card,Delivered,Car,27.199525281322984,31.202686794118115,27.18419174000384,31.172689828672254,27.19988322860413,31.194872503100207,3.423626490504448,Low,Online,5,579.96,Wednesday,June
36,U2121,970,478,Koshary,4,175.92,2025-06-09 18:56:00,,28.0,Zagazig,Wallet,Delivered,Motorbike,30.60003589392466,31.485621292287966,30.599309765239614,31.50399913354973,30.58317967986273,31.48413423333613,1.7642890072859965,High,Online,18,703.68,Monday,June
37,U8163,634,166,Pasta,4,334.44,2025-06-07 07:00:00,,53.0,Giza,Cash,Delivered,Car,30.005284550766937,31.19211091073426,30.01641729208752,31.22848185270079,30.03145369086045,31.204852946900537,3.719606391985368,High,Online,7,1337.76,Saturday,June
38,U7014,838,148,Salad,4,517.08,2025-06-13 11:44:00,,33.0,Mansoura,Cash,Delivered,Bicycle,31.021806884560256,31.397794427940507,31.04051516501949,31.364982511049785,31.050725253528345,31.37791720575317,3.757100040872442,Medium,Online,11,2068.32,Friday,June
39,U7194,254,441,Sushi,3,358.56,2025-06-14 10:41:00,,34.0,Zagazig,Cash,In Transit,Car,30.59506932106049,31.52022928895732,30.604841025584275,31.51906289165598,30.59542289522832,31.50816918268239,1.089076382743346,Medium,Online,10,1075.68,Saturday,June
40,U9507,855,492,Pizza,3,147.3,2025-06-01 16:10:00,,21.0,Giza,Credit Card,Delivered,Car,30.010706099749587,31.205165373837406,30.01058198395045,31.2071775911636,29.994501284850053,31.19058389439016,0.194617584723894,High,Online,16,441.90000000000003,Sunday,June
41,U4192,38,83,Koshary,3,97.05,2025-06-03 02:18:00,,34.0,Mansoura,Cash,Cancelled,Car,31.022781529393797,31.379734793186923,31.043277443733288,31.3838592099922,31.045122940085975,31.37361601781166,2.3062464700906644,Low,Online,2,291.15,Tuesday,June
42,U9682,467,397,Pizza,5,357.85,2025-06-02 21:22:00,,40.0,Tanta,Wallet,Delivered,Car,30.78630707640445,30.99294793143756,30.781873312068075,31.010320608422024,30.79126358207461,30.992584980894712,1.7340216237094974,Low,Online,21,1789.25,Monday,June
43,U7627,678,91,Pasta,1,83.75,2025-06-12 07:46:00,,33.0,Assiut,Cash,Delivered,Car,27.16227554084461,31.1948074750032,27.186926975308918,31.19449168827556,27.167271638633267,31.196142774718343,2.731712848301374,High,Online,7,83.75,Thursday,June
44,U4731,943,148,Shawarma,2,253.98,2025-06-03 10:50:00,,46.0,Tanta,Wallet,Delivered,Motorbike,30.802872816083152,31.009031464751075,30.76690224879129,30.97946278067304,30.79403887026936,30.99288616007756,4.89016613257698,Medium,Online,10,507.96,Tuesday,June
45,U2786,79,170,Burger,2,186.48,2025-06-12 23:31:00,,25.0,Giza,Wallet,Delivered,Car,30.003451199264003,31.197716786460315,30.02216730007113,31.211145618320916,30.01319450692789,31.22003806988128,2.4459976940050594,Low,Online,23,372.96,Thursday,June
46,U2840,330,330,Koshary,1,113.28,2025-06-04 08:20:00,,51.0,Zagazig,Cash,Delivered,Car,30.59420089137416,31.49735576519453,30.59897043837148,31.5204726655025,30.596611804090028,31.50949635254811,2.279185972453412,High,Online,8,113.28,Wednesday,June
47,U6356,643,151,Shawarma,1,79.01,2025-06-07 17:11:00,,45.0,Tanta,Cash,Delivered,Car,30.778968443043578,30.98669746708147,30.801594804410005,30.99750980262541,30.78339937153549,31.00473040391045,2.713576697766554,High,Offline,17,79.01,Saturday,June
48,U6759,922,317,Fried Chicken,2,130.8,2025-06-03 14:05:00,,44.0,Assiut,Credit Card,Delivered,Motorbike,27.181702720847117,31.16556496580028,27.18089324581102,31.200310629183907,27.19132472558752,31.17829927901879,3.4442972693095157,Medium,Online,14,261.6,Tuesday,June
49,U4435,137,243,Koshary,4,302.68,2025-06-06 15:05:00,,49.0,Mansoura,Cash,Delivered,Motorbike,31.03976841117373,31.363744858562555,31.02934723053346,31.370028871187444,31.04098533825442,31.370260830826236,1.3018687175296293,Medium,Online,15,1210.72,Friday,June
50,U2969,53,480,Shawarma,4,239.84,2025-06-06 09:09:00,,58.0,Giza,Credit Card,Delivered,Motorbike,30.00049417822102,31.194772924972817,30.02231914591656,31.21696660160335,30.03105000916219,31.21565291695392,3.2307524496273725,High,Online,9,959.36,Friday,June
51,U3229,601,350,Pizza,3,266.31,2025-06-14 05:52:00,,27.0,Zagazig,Wallet,Delivered,Car,30.606483385110582,31.4831952814071,30.60566073070612,31.505464634837097,30.58665630190195,31.518962720584607,2.137457264823204,Low,Online,5,798.9300000000001,Saturday,June
52,U1054,630,111,Sushi,2,247.3,2025-06-02 22:14:00,,22.0,Assiut,Wallet,Delivered,Car,27.191905312934445,31.18062700825105,27.191694077648982,31.168956850128577,27.167318113725862,31.1786572154413,1.1565854688474737,Low,Online,22,494.6,Monday,June
53,U7545,476,276,Shawarma,2,194.82,2025-06-07 12:02:00,,30.0,Tanta,Cash,Delivered,Car,30.80407995766257,30.980760780414823,30.802947305893053,30.9842199132213,30.79975341049754,30.986170574600894,0.3540539907968425,Medium,Online,12,389.64,Saturday,June
54,U4644,9,297,Shawarma,4,227.72,2025-06-02 10:28:00,,33.0,Tanta,Wallet,Delivered,Bicycle,30.802293094017102,31.012096455665,30.771273520616965,31.006208472855352,30.797193026309248,31.00173766319134,3.484882569422508,Medium,Online,10,910.88,Monday,June
55,U8650,657,263,Sandwich,4,551.32,2025-06-11 02:38:00,,34.0,Cairo,Credit Card,Delivered,Car,30.048315999152443,31.244183279095875,30.06137034172605,31.22041990139053,30.036877661657403,31.230828641056675,2.710254658554368,Low,Offline,2,2205.28,Wednesday,June
56,U4046,695,80,Fried Chicken,4,469.2,2025-06-09 03:05:00,,37.0,Tanta,Cash,Delivered,Bicycle,30.803374969400924,31.00954571372733,30.794931094603577,31.003736841999974,30.76800356516758,30.98392234114848,1.0887678725241228,Low,Online,3,1876.8,Monday,June
57,U3423,912,133,Koshary,2,258.74,2025-06-14 16:29:00,,53.0,Giza,Wallet,Cancelled,Car,29.99663970008208,31.21359920472758,30.02599135183759,31.22441994617956,30.01945187035828,31.21957226322484,3.417076888978185,High,Online,16,517.48,Saturday,June
58,U5408,124,480,Pizza,3,225.45,2025-06-15 10:46:00,,28.0,Assiut,Cash,Cancelled,Car,27.16873931449677,31.19025509327364,27.177735882964345,31.176114902208703,27.17260420481808,31.1785793074292,1.719731506547008,Medium,Online,10,676.3499999999999,Sunday,June
59,U9368,747,269,Burger,2,284.86,2025-06-11 22:08:00,,48.0,Zagazig,Wallet,Delivered,Car,30.569509091556423,31.486536401351128,30.590498842304317,31.491530856949705,30.58671676928749,31.504265868641102,2.375774402483142,Low,Online,22,569.72,Wednesday,June
60,U1711,714,160,Fried Chicken,2,232.84,2025-06-12 14:02:00,,52.0,Alexandria,Wallet,Delivered,Car,31.19311321323053,29.90102670594134,31.20463338205189,29.92025926054382,31.183208515941384,29.93383510189721,2.2340996937075963,Medium,Online,14,465.68,Thursday,June
61,U5744,769,298,Pizza,4,165.72,2025-06-13 23:16:00,,55.0,Mansoura,Cash,Cancelled,Bicycle,31.03344709158758,31.401068564487883,31.038650938689187,31.39861101378344,31.0278106297877,31.378129655359597,0.6228307390157652,Low,Online,23,662.88,Friday,June
62,U6994,884,394,Fried Chicken,4,562.68,2025-06-06 03:49:00,,52.0,Cairo,Credit Card,In Transit,Bicycle,30.03525396127096,31.230617974465765,30.02826305589911,31.21866028367456,30.036101766965512,31.23658636270034,1.389555828483923,Low,Online,3,2250.72,Friday,June
63,U6712,692,121,Pizza,4,183.08,2025-06-10 06:04:00,,51.0,Giza,Credit Card,Delivered,Car,30.02624950036608,31.190950800769546,30.00237948704409,31.223977148336832,29.99714793383345,31.19115324613525,4.141623354827666,Low,Online,6,732.32,Tuesday,June
64,U2160,282,263,Salad,3,168.93,2025-06-04 11:29:00,,30.0,Zagazig,Credit Card,Delivered,Car,30.581970133067745,31.488385839682564,30.57328187042023,31.488104505403804,30.579096418634315,31.49801449222517,0.9635781756335746,Medium,Online,11,506.79,Wednesday,June
65,U7127,853,177,Pizza,2,119.04,2025-06-16 05:44:00,,35.0,Tanta,Cash,Delivered,Car,30.777737380387496,31.01316823987666,30.799624369961112,30.99497781427084,30.776797888579,31.016310373047546,2.986530491620476,Low,Online,5,238.08,Monday,June
66,U3898,225,238,Salad,4,416.76,2025-06-12 04:57:00,,33.0,Cairo,Credit Card,Cancelled,Bicycle,30.04610784332633,31.223931947065086,30.03930345590369,31.248586269631577,30.036902096336828,31.23727891268868,2.494556111093707,Low,Offline,4,1667.04,Thursday,June
67,U6253,925,320,Pizza,1,115.91,2025-06-06 12:39:00,,34.0,Tanta,Credit Card,Delivered,Bicycle,30.77213696899899,30.99688168285086,30.7780195976216,31.00077524995365,30.80577884979588,31.00393506466635,0.7511738304960748,Medium,Online,12,115.91,Friday,June
68,U1979,643,58,Pizza,1,90.62,2025-06-07 00:45:00,,57.0,Cairo,Wallet,In Transit,Motorbike,30.05648787923016,31.242398967439925,30.03313315497679,31.226677716053825,30.04996481248884,31.23484422912812,3.0002520803847745,Low,Online,0,90.62,Saturday,June
69,U6147,95,35,Sandwich,2,125.78,2025-06-12 23:47:00,,38.0,Assiut,Wallet,Delivered,Bicycle,27.163882025747192,31.20233471081624,27.18898782757469,31.16861701119814,27.18813103628844,31.182996868242903,4.347857806460006,Low,Online,23,251.56,Thursday,June
70,U9582,82,99,Burger,4,319.52,2025-06-13 07:06:00,,47.0,Alexandria,Credit Card,Cancelled,Car,31.21957547746402,29.899263699952897,31.200902732107703,29.923969623672416,31.198662879126864,29.9011116630564,3.1351276083117168,High,Online,7,1278.08,Friday,June
71,U8284,438,166,Pasta,4,447.52,2025-06-11 14:17:00,,31.0,Tanta,Wallet,Delivered,Car,30.797389790771867,30.997703305199924,30.790182816828786,31.010863894036905,30.795236144955688,30.99044441239605,1.491635919757253,Medium,Online,14,1790.08,Wednesday,June
72,U3080,49,308,Salad,3,253.38,2025-06-15 05:46:00,,16.0,Giza,Credit Card,Delivered,Car,30.00104862726137,31.228741273613476,30.023353682757875,31.20809235001396,30.033067759382263,31.21239832292321,3.1752264729944426,Low,Online,5,760.14,Sunday,June
73,U4581,824,221,Sushi,3,429.63,2025-06-12 12:21:00,,33.0,Giza,Wallet,Delivered,Car,29.993320884684945,31.19376888092504,30.03189332057449,31.21658095719924,30.02545133822171,31.191633536282723,4.8089872972885255,Medium,Offline,12,1288.8899999999999,Thursday,June
74,U9571,955,267,Salad,2,163.62,2025-06-02 23:26:00,,34.0,Zagazig,Wallet,Delivered,Motorbike,30.600318457138197,31.48694867881033,30.59734758996491,31.50447593569086,30.58989414014623,31.518900110026287,1.7128578671625867,Low,Online,23,327.24,Monday,June
75,U3460,687,277,Sushi,5,153.85,2025-06-01 13:19:00,,36.0,Alexandria,Credit Card,Cancelled,Bicycle,31.208374293753906,29.9021816926261,31.218944801028027,29.927414501564297,31.19667425107027,29.9343247004562,2.674870940445627,Medium,Offline,13,769.25,Sunday,June
76,U9232,399,321,Salad,4,575.96,2025-06-11 04:06:00,,54.0,Alexandria,Wallet,Delivered,Motorbike,31.20926028672164,29.919013761491254,31.208006005367512,29.935481586887462,31.204015285230355,29.90387454100634,1.57546265541341,Low,Online,4,2303.84,Wednesday,June
77,U8505,372,243,Sushi,5,599.3,2025-06-01 14:51:00,,37.0,Alexandria,Cash,Delivered,Car,31.21095081386744,29.91263644789869,31.20718870953506,29.913726952214287,31.19374189780558,29.92553629811737,0.429866412795598,Medium,Online,14,2996.5,Sunday,June
78,U3076,210,42,Koshary,3,356.94,2025-06-05 02:47:00,,43.0,Zagazig,Credit Card,Delivered,Car,30.570661786069365,31.51065016225519,30.57346936288683,31.51124892089356,30.588178660257967,31.50443674632776,0.3165092925402225,Low,Online,2,1070.82,Thursday,June
79,U4010,603,218,Koshary,1,47.91,2025-06-02 21:29:00,,33.0,Assiut,Credit Card,Delivered,Bicycle,27.175238629141774,31.18655186655023,27.16461898631417,31.20194396626669,27.16578444019873,31.16956486292211,1.926560826806411,Low,Online,21,47.91,Monday,June
80,U4596,156,390,Sandwich,5,238.6,2025-06-06 15:09:00,,35.0,Cairo,Wallet,Delivered,Car,30.02903476238101,31.23893359984366,30.02535716824688,31.22467717044149,30.045377862132383,31.23681278435097,1.4343296964054182,Medium,Online,15,1193.0,Friday,June
81,U7464,666,221,Pizza,3,234.93,2025-06-06 09:17:00,,17.0,Zagazig,Wallet,Delivered,Car,30.602224137035027,31.502442362879663,30.59544879549045,31.51880001623383,30.605516830974786,31.50103870754884,1.739282638909928,High,Online,9,704.79,Friday,June
82,U4250,506,312,Burger,5,686.7,2025-06-06 05:13:00,,37.0,Mansoura,Wallet,Delivered,Car,31.042831925073106,31.401182596175158,31.043862318062853,31.37815994980292,31.054917173511964,31.38621953592873,2.200732728625354,Low,Online,5,3433.5,Friday,June
83,U4459,98,432,Fried Chicken,3,206.25,2025-06-03 09:27:00,,38.0,Cairo,Cash,Delivered,Motorbike,30.037635920994106,31.237261961562435,30.04965318880248,31.21785590873843,30.02836178873415,31.24451174490177,2.2972829137686315,High,Online,9,618.75,Tuesday,June
84,U7979,716,8,Sushi,3,124.41,2025-06-09 07:37:00,,52.0,Cairo,Cash,Delivered,Bicycle,30.02694233401144,31.21859452108016,30.049402975789285,31.224515924416757,30.048093367662243,31.227066789543404,2.5544928004739837,High,Online,7,373.23,Monday,June
85,U8000,664,283,Pizza,4,391.28,2025-06-11 23:50:00,,57.0,Giza,Wallet,Delivered,Car,30.00553929286863,31.201787785524424,30.020634449884135,31.224424816681108,30.03013741039559,31.22179765927178,2.7512500515420686,Low,Online,23,1565.12,Wednesday,June
86,U9811,363,188,Fried Chicken,5,282.45,2025-06-07 12:31:00,,51.0,Zagazig,Wallet,Delivered,Bicycle,30.580707332881072,31.51322709563133,30.601120870043573,31.50419296528432,30.58159820036382,31.48378857276165,2.423293267174554,Medium,Online,12,1412.25,Saturday,June
87,U5699,631,333,Burger,4,375.0,2025-06-06 17:29:00,,29.0,Cairo,Credit Card,Cancelled,Motorbike,30.05358424713352,31.240838207859397,30.053444237539832,31.252437112148943,30.04173810101416,31.23899194372998,1.1186418629492856,High,Online,17,1500.0,Friday,June
88,U7553,502,171,Pasta,4,277.04,2025-06-11 01:50:00,,26.0,Alexandria,Cash,In Transit,Motorbike,31.20560229885421,29.92605790976185,31.204071829680423,29.92014545608788,31.202814603385505,29.923383587642725,0.588450712153056,Low,Offline,1,1108.16,Wednesday,June
89,U1411,293,187,Pizza,2,230.18,2025-06-11 03:54:00,,26.0,Assiut,Credit Card,Delivered,Car,27.196388509703056,31.20057224917767,27.169617345508964,31.163845859296217,27.19017294248473,31.18426196373273,4.695159918315265,Low,Online,3,460.36,Wednesday,June
90,U3631,761,198,Fried Chicken,5,534.6,2025-06-15 20:18:00,,36.0,Cairo,Cash,Delivered,Motorbike,30.04328859700648,31.23345121151179,30.055090819765084,31.243509873554324,30.056513756817303,31.23528377222316,1.6287029507472963,Low,Online,20,2673.0,Sunday,June
91,U4672,159,110,Fried Chicken,1,53.5,2025-06-11 00:57:00,,44.0,Alexandria,Credit Card,Delivered,Motorbike,31.18488376983753,29.899480882016583,31.190084991890416,29.91663146353269,31.183839038093566,29.910578254231503,1.733472839938537,Low,Online,0,53.5,Wednesday,June
92,U6502,597,270,Pizza,2,201.42,2025-06-08 07:13:00,,29.0,Alexandria,Cash,Delivered,Car,31.20862979148892,29.93830360014041,31.207312491049912,29.90182082803037,31.205240506489368,29.914682086484927,3.479742026482074,High,Online,7,402.84,Sunday,June
93,U5810,665,77,Pasta,2,244.34,2025-06-13 13:51:00,,26.0,Tanta,Wallet,Delivered,Motorbike,30.79693140194468,30.99638311059071,30.77188816691095,30.988805967193773,30.783194218851587,30.99923388844868,2.8696036188032163,Medium,Offline,13,488.68,Friday,June
94,U5500,458,488,Sandwich,4,129.28,2025-06-02 12:28:00,,27.0,Mansoura,Cash,Delivered,Bicycle,31.04035108790278,31.365404465000164,31.03830168038901,31.367451704019956,31.05494541492405,31.37915854717195,0.2997078033843213,Medium,Online,12,517.12,Monday,June
95,U4838,895,318,Salad,4,327.16,2025-06-11 09:29:00,,36.0,Alexandria,Cash,Cancelled,Motorbike,31.21093868719818,29.92064336414636,31.2054163278326,29.91671153123438,31.18708118206984,29.91161623819944,0.7178295975137471,High,Online,9,1308.64,Wednesday,June
96,U4915,551,78,Salad,2,220.78,2025-06-14 09:54:00,,47.0,Alexandria,Wallet,Delivered,Motorbike,31.199851823854576,29.92230812702604,31.212707342388825,29.91077585876854,31.217373772416863,29.93727111480543,1.7998258562055576,High,Online,9,441.56,Saturday,June
97,U3700,822,347,Sushi,5,363.55,2025-06-15 01:51:00,,46.0,Alexandria,Wallet,Delivered,Bicycle,31.20100931317528,29.92127333667252,31.20820151598625,29.907072055318487,31.20031628525645,29.91307589642284,1.5708320792243275,Low,Online,1,1817.75,Sunday,June
98,U3944,812,142,Koshary,4,495.04,2025-06-12 21:44:00,,33.0,Alexandria,Wallet,Delivered,Bicycle,31.19720164073434,29.937296717241004,31.212357454811816,29.92460728628044,31.18372322878054,29.90250521709089,2.0702764609311703,Low,Online,21,1980.16,Thursday,June
99,U8168,194,104,Burger,2,188.44,2025-06-02 14:56:00,,54.0,Tanta,Credit Card,Delivered,Bicycle,30.767516765069765,30.99098541730911,30.800708493064224,31.01602322994455,30.799701949816946,30.995374304949262,4.391440998281913,Medium,Offline,14,376.88,Monday,June
100,U4498,211,500,Pasta,2,249.98,2025-06-14 02:45:00,,38.0,Mansoura,Wallet,Delivered,Car,31.02221565707973,31.36288052506378,31.05296681478134,31.399935316806644,31.0425904927017,31.39468019456615,4.913025298833245,Low,Online,2,499.96,Saturday,June
